song_names,artists,artists_id,albums,time_played,duration_ms,track_ids,albums_image,id,genres
no14 - feat. Dani Faiv,thasup,19i93sA0D7yS9dYoVNBqAA,23 6451,2023-02-23 13:33:18,176440,6EGg8wngFbfTskeu05o6hM,https://i.scdn.co/image/ab67616d00001e0258010f854f0b1052a934500f,0z3v96iyxiboop7dngb52qob0,"['italian hip hop', 'italian pop', 'trap italiana']"
Rumble,Skrillex,5he5w2lnU9x7JFhnwcekXX,Rumble,2023-02-24 08:49:00,146571,1GfBLbAhZUWdseuDqhocmn,https://i.scdn.co/image/ab67616d00001e02352f154c54727bc8024629bc,0z3v96iyxiboop7dngb52qob0,"['brostep', 'complextro', 'edm', 'electro']"
"Again (feat. Ms. Dynamite, Ms Banks & Jaykae) - Mixed",CLIPZ,6b0TSaLAeLXilOPoId8udE,"Honey, I Shrunk The Rave, Vol. 1 (DJ Mix)",2023-02-24 08:51:04,66278,0Rr4FEtOPThHlfr3unkm0S,https://i.scdn.co/image/ab67616d00001e02f07e05a5fa375695199951b5,0z3v96iyxiboop7dngb52qob0,['uk dnb']
Rumble,Skrillex,5he5w2lnU9x7JFhnwcekXX,Quest For Fire,2023-02-24 08:53:30,146571,74fmYjFwt9CqEFAh8ybeBD,https://i.scdn.co/image/ab67616d00001e0220fb9ff375c6e8b920cbb2ca,0z3v96iyxiboop7dngb52qob0,"['brostep', 'complextro', 'edm', 'electro']"
Turn On The Lights again.. (feat. Future),Fred again..,4oLeXFyACqeem2VImYeBFe,USB,2023-02-24 08:58:35,267946,3pBpX15YF0hdlRz2ddfSh2,https://i.scdn.co/image/ab67616d00001e02f53460be9a3f788777b0fe5c,0z3v96iyxiboop7dngb52qob0,"['edm', 'house']"
Delilah (pull me out of this),Fred again..,4oLeXFyACqeem2VImYeBFe,Actual Life 3 (January 1 - September 9 2022),2023-02-24 09:06:38,250702,5w9upngVRHNjdZcRC7Xxr2,https://i.scdn.co/image/ab67616d00001e027622b889949b07f15c6b57e2,0z3v96iyxiboop7dngb52qob0,"['edm', 'house']"
mar+e,thasup,19i93sA0D7yS9dYoVNBqAA,c@ra++ere s?ec!@le,2023-02-27 13:58:02,163816,1bQHZHNELY2uBOrOSRMXSr,https://i.scdn.co/image/ab67616d00001e0290160a76ca2d3f0c101037f5,0z3v96iyxiboop7dngb52qob0,"['italian hip hop', 'italian pop', 'trap italiana']"
okk@pp@,thasup,19i93sA0D7yS9dYoVNBqAA,c@ra++ere s?ec!@le,2023-02-27 14:00:25,142373,75vXpgRif6ZFOBemaQUTfu,https://i.scdn.co/image/ab67616d00001e0290160a76ca2d3f0c101037f5,0z3v96iyxiboop7dngb52qob0,"['italian hip hop', 'italian pop', 'trap italiana']"
b@by nel bed,thasup,19i93sA0D7yS9dYoVNBqAA,c@ra++ere s?ec!@le,2023-02-27 14:02:26,120440,73Pv4y14ADVQRmVL6FKpZt,https://i.scdn.co/image/ab67616d00001e0290160a76ca2d3f0c101037f5,0z3v96iyxiboop7dngb52qob0,"['italian hip hop', 'italian pop', 'trap italiana']"
w()ah,thasup,19i93sA0D7yS9dYoVNBqAA,c@ra++ere s?ec!@le,2023-02-27 14:05:09,163540,1hjmd711q5mJQmp6T0mdol,https://i.scdn.co/image/ab67616d00001e0290160a76ca2d3f0c101037f5,0z3v96iyxiboop7dngb52qob0,"['italian hip hop', 'italian pop', 'trap italiana']"
